"text", "translation"
"育成でウマ娘を1人育成完了しよう","完成 1 位赛马娘的育成"
"デイリーレースに出走しよう","完成 1 次每日比赛"
"チーム競技場をプレイしよう","完成 1 次竞技场比赛"
"ログインしよう","每日登录"
"イベントデイリーミッションを\nすべてクリアしよう","完成所有活动每日任务"
"育成でウマ娘を\n3人育成完了しよう","完成 3 位赛马娘的育成"
"育成でウマ娘を\n5人育成完了しよう","完成 5 位赛马娘的育成"
"育成でウマ娘を\n10人育成完了しよう","完成 10 位赛马娘的育成"
"育成でウマ娘を\n20人育成完了しよう","完成 20 位赛马娘的育成"
"チーム競技場を\n5回プレイしよう","完成 5 次竞技场比赛"
"チーム競技場を\n10回プレイしよう","完成 10 次竞技场比赛"
"チーム競技場を\n20回プレイしよう","完成 20 次竞技场比赛"
"チーム競技場を\n30回プレイしよう","完成 30 次竞技场比赛"
"チーム競技場を\n50回プレイしよう","完成 50 次竞技场比赛"
"育成でレースに\n5回勝利しよう","在育成中获得 5 次比赛胜利"
"育成でレースに\n10回勝利しよう","在育成中获得 10 次比赛胜利"
"育成でレースに\n20回勝利しよう","在育成中获得 20 次比赛胜利"
"育成でレースに\n30回勝利しよう","在育成中获得 30 次比赛胜利"
"育成でレースに\n40回勝利しよう","在育成中获得 40 次比赛胜利"
"育成でレースに\n50回勝利しよう","在育成中获得 50 次比赛胜利"
"デイリーレースで\n3勝しよう","获得 3 次日常比赛胜利"
"デイリーレースで\n5勝しよう","获得 5 次日常比赛胜利"
"デイリーレースで\n10勝しよう","获得 10 次日常比赛胜利"
"デイリーレースで\n15勝しよう","获得 15 次日常比赛胜利"
"デイリーレースで\n20勝しよう","获得 20 次日常比赛胜利"
"デイリーレースで\n25勝しよう","获得 25 次日常比赛胜利"
"育成でGⅠレースに\n3回勝利しよう","在育成中获得 3 次 GI 比赛胜利"
"育成でGⅠレースに\n5回勝利しよう","在育成中获得 5 次 GI 比赛胜利"
"育成でGⅠレースに\n10回勝利しよう","在育成中获得 10 次 GI 比赛胜利"
"育成でGⅠレースに\n20回勝利しよう","在育成中获得 20 次 GI 比赛胜利"
"育成でGⅠレースに\n30回勝利しよう","在育成中获得 30 次 GI 比赛胜利"
"期間中にファンを\n累計100000人獲得しよう","累计获得 100000 粉丝"
"期間中にファンを\n累計200000人獲得しよう","累计获得 200000 粉丝"
"期間中にファンを\n累計300000人獲得しよう","累计获得 300000 粉丝"
"期間中にファンを\n累計500000人獲得しよう","累计获得 500000 粉丝"
"期間中にファンを\n累計1000000人獲得しよう","累计获得 1000000 粉丝"
"期間中にファンを\n累計1500000人獲得しよう","累计获得 1500000 粉丝"
"イベントストーリーを\n第8話まで視聴しよう","观看 イベントストーリー 第 8 话"
"イベント期間限定ミッションを\nすべてクリアしよう","完成所有活动限定任务"
"育成を1回完了しよう","完成 1 次育成"
"育成でレースに勝利しよう","在育成中获得 1 次胜利"
"育成を3回完了しよう","完成 3 次育成"
"育成を5回完了しよう","完成 5 次育成"
"育成を10回完了しよう","完成 10 次育成"
"育成を15回完了しよう","完成 15 次育成"
"育成を20回完了しよう","完成 20 次育成"
"育成を25回完了しよう","完成 25 次育成"
"育成を30回完了しよう","完成 30 次育成"
"育成でファン数を\n累計10万人以上獲得しよう","累计获得 10 万粉丝"
"育成でファン数を\n累計50万人以上獲得しよう","累计获得 50 万粉丝"
"育成でファン数を\n累計100万人以上獲得しよう","累计获得 100 万粉丝"
"育成でファン数を\n累計150万人以上獲得しよう","累计获得 150 万粉丝"
"育成で皐月賞の\n3着以内に入ろう","在育成中取得 皐月賞 的前三名"
"育成で日本ダービーの\n3着以内に入ろう","在育成中取得 日本ダービー 的前三名"
"育成で菊花賞の\n3着以内に入ろう","在育成中取得 菊花賞 的前三名"
"育成で大阪杯の\n3着以内に入ろう","在育成中取得 大阪杯 的前三名"
"育成で天皇賞（春）の\n3着以内に入ろう","在育成中取得 天皇賞（春） 的前三名"
"育成で宝塚記念の\n3着以内に入ろう","在育成中取得 宝塚記念 的前三名"
"育成で有馬記念の\n3着以内に入ろう","在育成中获得 有馬記念 的前三名"
"チーム競技場を\n40回プレイしよう","在竞技场中完成 40 次比赛"
"チーム競技場でスコアを\n累計20万以上獲得しよう","在竞技场中累计获得 200000 pt"
"チーム競技場でスコアを\n累計50万以上獲得しよう","在竞技场中累计获得 500000 pt"
"チーム競技場でスコアを\n累計100万以上獲得しよう","在竞技场中累计获得 1000000 pt"
"チーム競技場でスコアを\n累計200万以上獲得しよう","在竞技场中累计获得 2000000 pt"
